,Total_Sales,Year,cleaned_name,curb_weight_lbs,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,vol_cubft,mpg_comb,drivetrain,fuel,class,transmission
168,9801.0,2005,mazda mx 5 miata,2477.285714285714,7.66,142.0,66.1,24466.42857142857,2.0,2.0,89.20000000000002,,12.7,155.3,,22.0,rear wheel,gas,two seater,MT
169,18227.0,2005,mercedes benz clk,,,,,,,,,,,,,,,,,
170,20503.0,2005,audi a6,4051.0,6.73,255.0,71.3,46700.0,5.0,4.0,111.9,57.45,21.1,193.5,97.15,20.5,all wheel,gas,midsize,DCT
171,20994.0,2005,mitsubishi endeavor,,7.15,225.0,,5024.0,5.0,4.0,108.3,67.3,21.4,190.2,106.7,19.5,all wheel,gas,,
172,13998.0,2005,volvo xc70,,7.45,208.0,73.2,5307.0,5.0,4.0,108.8,61.5,18.0,,,21.0,all wheel,gas,,
173,23439.0,2005,pontiac montana sv6,,9.08,200.0,,4531.0,,,,,25.0,,,20.0,all wheel,,,
174,10274.0,2005,lincoln mark lt,,,,,,,,,,,,,,,,,
175,15271.0,2005,buick rainier,,,,,,,,,,,,,,,,,
176,10045.0,2005,bmw z4,2965.0,6.67,184.0,70.1,38300.0,2.0,2.0,98.2,51.1,14.5,161.1,,24.0,rear wheel,gas,two seater,MT
177,7967.0,2005,suzuki aerio sx4,,,,,,,,,,,,,,,,,
178,10107.0,2005,porsche 911,3240.076923076923,4.67,315.0,69.7,103061.53846153848,3.8461538461538463,2.0,92.53846153846152,51.15384615384616,16.900000000000002,174.5,,22.0,rear wheel,gas,minicompact,MT
179,13430.0,2005,land rover range rover,5379.0,7.31,282.0,,79210.0,5.0,4.0,113.4,74.8,26.4,,,12.0,four wheel,gas,suv,MT
