,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
227,45904.0,toyota sequoia,4990.0,7.46,38822.5,8.0,4.0,118.1,26.4,126.9,16.5,2005,73.75,89.0,237.0,four wheel,DCT,suv,282.0,True,Hybrid
230,33562.0,chevrolet monte carlo,,8.69,3342.0,5.0,2.0,110.5,17.0,96.0,22.0,2005,,197.9,72.3,front wheel,AT,midsize,180.0,,gas
231,34099.0,mercury mariner,,,,,,,,,,2005,191.0,98.0,13.0,Front-wheel drive,6 Speed Automatic,Automatic transmission,171.0,True,Hybrid
233,35976.0,volvo xc90,4521.111111111111,9.67,37803.88888888889,5.888888888888889,4.0,112.6,21.1,101.0,20.5,2005,70.2,200.0,74.7,all wheel,DCT,special purpose,208.0,True,Hybrid
236,4985.0,lincoln zephyr,,,,,,,,,,2005,,,,,,,,,
237,24487.0,mitsubishi eclipse,,7.05,3734.0,4.0,2.0,100.8,16.4,79.0,21.0,2005,51.6,176.8,68.9,front wheel,AT,subcompact,210.0,,gas
238,39508.0,nissan armada,5382.6,7.59,38350.0,7.6,4.0,123.2,28.0,188.4,16.0,2005,78.34,206.9,78.8,four wheel,AT,suv,305.0,True,Hybrid
241,28033.0,scion xa,,9.88,1999.0,5.0,4.0,93.3,11.9,86.0,30.0,2005,60.2,154.1,66.7,front wheel,AT,subcompact,108.0,,gas
242,40357.0,nissan quest,,8.08,3555.0,,,124.0,20.0,,19.0,2005,71.9,204.1,77.6,front wheel,AT,minivan,240.0,,gas
243,34959.0,mercedes benz m class,,8.37,5692.0,,,111.0,,,15.5,2005,71.7,182.6,72.4,all wheel,7 Speed Automatic Select Shift,Automatic transmission,232.0,True,Hybrid
245,30769.0,bmw x3,4012.0,8.07,33300.0,5.0,4.0,110.1,17.7,,18.0,2005,65.9,179.7,73.0,all wheel,MT,suv,184.0,True,Hybrid
247,16036.0,mercedes benz s class,4336.666666666667,6.89,92508.33333333331,5.0,4.0,122.0,23.2,105.0,20.0,2005,57.0,203.1,73.0,rear wheel,AT,large,275.0,,gas
248,32491.0,mercury mountaineer,,,,,,,,,,2005,,,,,,,,,
249,15690.0,volkswagen golf rabbit,,,,,,,,,,2005,,,,,,,,,
250,15690.0,volkswagen golf,2944.6153846153848,11.52,18596.92307692308,5.0,3.230769230769231,98.9,14.5,88.0,35.0,2005,56.70000000000001,164.9,68.3,front wheel,MT,compact,100.0,,gas
251,30290.0,kia rio,2452.5,9.53,11428.75,5.0,4.0,94.9,11.9,176.0,24.0,2005,56.7,166.9,66.1,front wheel,MT,subcompact,104.0,True,Hybrid
253,33976.0,mitsubishi galant,,7.58,3374.0,5.0,4.0,108.3,17.7,101.0,23.0,2005,57.9,190.4,72.4,front wheel,AT,midsize,230.0,True,Hybrid
256,33457.0,lexus gs,,7.38,5831.0,,,110.2,19.8,100.0,19.5,2005,55.9,189.2,70.9,rear wheel,6 Speed Automatic Select Shift,Automatic transmission,220.0,True,Hybrid
258,8624.0,suzuki grand vitara,,7.56,2759.0,5.0,4.0,97.6,16.9,,18.0,2005,67.3,148.0,19.0,rear wheel,AT,suv,165.0,True,Hybrid
260,17645.0,hyundai xg350 azera,,,,,,,,,,2005,,,,,,,,,
261,37598.0,bmw x5,4864.666666666667,7.77,54866.66666666666,5.0,4.0,111.0,24.600000000000005,,16.0,2005,67.5,183.7,73.7,all wheel,DCT,suv,225.0,True,Hybrid
263,36761.0,mazda tribute,,9.64,3055.0,5.0,4.0,103.1,16.5,,23.5,2005,67.7,174.4,72.0,front wheel,5 Speed Manual,Manual transmission,153.0,True,Hybrid
265,24695.0,volvo s60,3494.25,5.26,32403.125,5.0,4.0,106.90000000000003,18.125,94.0,21.0,2005,56.22500000000002,180.2,71.4,front wheel,AT,compact,300.0,True,Hybrid
267,33497.0,cadillac sts,,6.0,7053.0,5.0,4.0,116.4,17.0,,21.5,2005,57.6,196.3,72.6,rear wheel,6 Speed Automatic Select Shift,Automatic transmission,320.0,True,Hybrid
269,24000.0,infiniti m45,,,,,,,,,,2005,,,,,,,,,
270,34339.0,lexus gx470,,,,,,,,,,2005,,,,,,,,,
271,27278.0,nissan 350z,,4.97,5430.0,2.0,2.0,104.3,20.0,,20.0,2005,51.9,169.4,71.5,rear wheel,MT,two seater,300.0,,gas
272,24241.0,volvo s40,,8.48,3534.0,5.0,4.0,103.9,15.9,,26.0,2005,57.2,175.9,69.7,front wheel,5 Speed Manual,Manual transmission,168.0,True,Hybrid
274,24108.0,saab 9 3,,6.94,4927.0,5.0,4.0,105.3,16.4,,27.0,2005,56.8,182.5,69.0,front wheel,,,210.0,,gas
275,34845.0,gmc canyon,,,21486.73076923077,3.923076923076923,2.6153846153846154,121.47692307692306,19.0,,19.5,2005,66.42307692307689,192.8,67.6,rear wheel,MT,Manual transmission,175.0,True,Hybrid
277,25844.0,lincoln navigator,5760.0,,53650.0,7.0,4.0,118.8,28.0,157.2,,2005,77.8,39.0,191.0,rear wheel,AT,suv,310.0,True,Hybrid
280,27849.0,mitsubishi lancer,,9.35,2489.0,5.0,4.0,102.4,13.2,94.0,24.0,2005,54.9,180.5,66.8,front wheel,AT,compact,120.0,True,Hybrid
282,26786.0,infiniti fx,,,,,,,,,,2005,115.0,251.0,135.0,Rear-wheel drive,7 Speed Automatic,Automatic transmission,303.0,True,Hybrid
285,27007.0,mercury montego,,,3924.0,5.0,4.0,112.9,19.0,,22.5,2005,,200.4,74.5,all wheel,,,203.0,,gas
286,22999.0,cadillac srx,,,7520.0,5.0,4.0,116.4,20.0,,18.0,2005,67.8,225.0,72.6,rear wheel,6 Speed Automatic Select Shift,Automatic transmission,320.0,True,Hybrid
288,5445.0,pontiac solstice,,,,,,,,,,2005,,,,,,,,,
289,26043.0,lexus ls,3990.0,6.42,56225.0,5.0,4.0,115.2,22.2,107.2,21.5,2005,58.7,197.4,72.0,rear wheel,DCT,midsize,290.0,True,Hybrid
