,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
1997,3049,1096.0,2011,acura rl,,,,6.1,300.0,195.7,72.7,16048.0,5.0,4.0,110.2,57.2,19.3,99.0,20.0,all wheel,Premium,Automatic (S6),Midsize Cars,,premium
1998,3050,943.0,2011,mercedes benz cl class,,,,5.14,429.0,200.6,73.7,38471.0,,,116.3,55.8,23.8,105.0,19.0,all wheel,Gas,,,,regular
1999,3051,880.0,2011,chevrolet caprice,,,,,,,,,,,,,,,,,,,,,
2000,3052,856.0,2011,chevrolet cobalt,,,,7.76,155.0,180.5,67.9,4544.0,5.0,2.0,103.3,55.5,13.0,,30.0,front wheel,Gas,,,,regular
2001,3053,759.0,2011,mazda rx 8,,,,5.79,232.0,175.6,69.7,9110.0,4.0,4.0,106.3,52.8,16.9,89.0,18.0,rear wheel,Premium,Manual 6-spd,Subcompact Cars,,premium
2002,3055,722.0,2011,mercedes benz sls amg,,,,3.15,563.0,182.6,76.3,62220.0,2.0,2.0,105.5,49.3,26.2,0.0,16.0,rear wheel,Premium,Automatic (AM7),Two Seaters,,premium
2003,3056,555.0,2011,volvo v50,,,,6.74,227.0,38.9,69.7,9860.0,5.0,4.0,103.9,57.4,15.1,,25.5,front wheel,Gas,,,,regular
2004,3057,429.0,2011,kia borrego,,,,6.13,337.0,192.1,75.4,9998.0,7.0,4.0,114.0,71.3,20.6,,17.5,four wheel,Gas,,,,regular
2005,3058,267.0,2011,saab 9 four x,,,,,265.0,,75.0,12665.0,5.0,4.0,110.5,66.1,21.1,,,front wheel,Gas,,,,regular
2006,3059,265.0,2011,buick verano,,,,,,,,,,,,,,,,,,,,,
2007,3060,248.0,2011,scion iq,,,,,,,,,,,,,,74.0,36.0,front wheel,Regular,Automatic (variable gear ratios),Minicompact Cars,,regular
2008,3061,197.0,2011,dodge viper,,,,3.1,600.0,175.6,75.2,26173.0,,,98.8,47.6,16.0,,17.5,rear wheel,Gas,,,,regular
2009,3062,105.0,2011,jeep commander,,,,8.99,210.0,188.5,74.8,9736.0,7.0,4.0,109.5,36.2,21.1,112.8,16.0,four wheel,Gas,,,,regular
2025,3079,645316.0,2012,ford f,,Crew Cab Pickup - Standard Bed,Gas/Ethanol V8,7.26,351.0,248.4,50.0,35480.0,5.16666666666667,3.0,148.14696969697,75.6075757575758,30.8484848484848,,16.8484848484848,four wheel,"Gas/Ethanol V8, 5.0L",6-speed electronic automatic transmission w/OD & tow/haul mode,,Electronic Fuel Injection,gas/ethanol
2026,3080,418312.0,2012,chevrolet silverado,,Crew Cab Pickup - Short Bed,Gas/Ethanol V8,,302.0,230.2,50.6,31976.4516129032,5.03225806451613,2.58064516129032,141.693548387097,73.7161290322581,28.5806451612903,,16.1612903225806,rear wheel,"Gas/Ethanol V8, four .8L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode (On Crew Cab models, requires (Ltwo0) Vortec four .8L V8 SFI Flex-Fuel engine. Not available on C*10953 models.)",,Electronic Fuel Injection,gas/ethanol
2027,3081,404886.0,2012,toyota camry,3308.66666666667,four dr Car,Gas Ifour ,5.81,268.0,189.2,71.7,25462.2222222222,5.0,4.0,109.3,57.9,17.0,103.0,28.0,front wheel,Regular,6-speed ECT-i automatic transmission w/OD -inc: sequential shift,Midsize Car,EFI,regular
2028,3083,331872.0,2012,honda accord,,,,7.96,177.0,194.3,72.7,9232.0,,,110.2,58.1,18.5,106.0,27.0,front wheel,Regular,Manual 5-spd,Large Cars,,regular
2029,3086,310753.0,2012,honda civic,2767.42857142857,four dr Car,Gas Ifour ,11.17,110.0,177.3,69.0,21181.1904761905,5.0,4.0,105.1,56.5,13.2,178.0,31.0,front wheel,Regular,Compact 5-speed automatic transmission w/OD,Compact Cars,Electronic Fuel Injection,regular
2030,3089,7156.0,2012,honda civic hybrid,2864.5,four dr Car,Gas/Electric Ifour ,,110.0,177.3,69.0,25550.0,5.0,4.0,105.1,56.3,13.2,95.0,44.0,front wheel,Regular,Automatic (variable gear ratios),Compact Cars,Electronic Fuel Injection,regular
2031,3090,302934.0,2012,nissan altima,3223.14285714286,four dr Car,Gas Ifour ,8.44,175.0,190.7,70.7,25048.75,5.0,3.0,107.3,56.9375,20.0,101.0,26.0,front wheel,Regular,6-speed manual transmission w/OD,Midsize,Electronic Fuel Injection,regular
2032,3092,293363.0,2012,dodge ram,,,,,390.0,,51.0,11320.0,6.0,4.0,140.5,75.1,26.0,,17.0,rear wheel,Gas,,,,regular
2033,3093,290947.0,2012,toyota corolla,2773.6,four dr Car,Gas Ifour ,9.61,132.0,179.3,69.4,17562.0,5.0,4.0,102.4,57.7,13.2,92.0,29.0,front wheel,Regular,four -speed automatic transmission w/OD -inc: intelligence (ECT-i),Compact,Electronic Fuel Injection,regular
2034,3095,281652.0,2012,honda cr v,3446.1,Sport Utility,Gas Ifour ,8.44,185.0,178.3,71.6,26830.0,5.0,4.0,103.1,65.1,15.3,102.02,25.5,front wheel,"Gas Ifour , two.four L",5-speed automatic transmission w/OD,four WD Sport Utility,Electronic Fuel Injection,regular
2035,3096,261008.0,2012,ford escape,3539.77777777778,Sport Utility,Gas Ifour ,8.95,177.0,34.7,40.7,28691.1111111111,5.0,4.0,103.1,67.7888888888889,15.8777777777778,99.5,27.0,front wheel,"Gas Ifour , two.5L",6-speed automatic transmission w/OD,twoWD Sport Utility Vehicles,Electronic Fuel Injection,regular
2036,3097,245922.0,2012,ford focus,2912.57142857143,four dr Car,Gas Ifour ,7.86,160.0,175.0,67.8,19857.1428571429,5.0,4.0,104.3,57.7,12.4,90.7,30.5714285714286,front wheel,"Gas Ifour , two.0L",6-speed PowerShift automatic transmission,Compact,Direct Injection,regular
2037,3098,241263.0,2012,ford fusion,3531.57142857143,four dr Car,Gas Ifour ,5.8,240.0,190.6,72.2,26178.5714285714,5.0,4.0,107.4,56.9,17.2142857142857,100.228571428571,24.8571428571429,front wheel,"Gas Ifour , two.5L",6-speed automatic transmission w/SelectShift,Mid-Size Sedan,Electronic Fuel Injection,regular
2038,3099,237758.0,2012,chevrolet cruze,3105.6,four dr Car,Turbocharged Gas Ifour ,9.32,138.0,181.0,70.7,19711.0,5.0,4.0,105.7,58.1,15.0,94.0,30.0,front wheel,Regular,"Transmission, 6-speed manual with over",Midsize Car,Electronic Fuel Injection,regular
2039,3103,236659.0,2012,toyota prius,3077.14285714286,four dr Car,Gas/Electric Ifour ,12.78,98.0,175.6,68.7,28877.8571428571,5.0,4.0,106.3,58.7,11.5285714285714,94.0,48.0,front wheel,Regular,Automatic (variable gear ratios),Midsize Cars,Electronic Fuel Injection,regular
2040,3104,147507.0,2012,toyota prius liftback,,,,,,,,,,,,,,,,,,,,,
2041,3105,40669.0,2012,toyota prius v,,,,,98.0,181.7,69.9,10620.0,5.0,4.0,109.4,62.0,11.9,97.0,41.0,front wheel,Regular,Automatic (variable gear ratios),Midsize Station Wagons,,regular
2042,3106,35733.0,2012,toyota prius c,2500.0,four dr Car,Gas/Electric Ifour ,,73.0,157.3,66.7,20928.75,5.0,4.0,100.4,56.9,9.5,87.0,50.0,front wheel,Regular,Automatic (variable gear ratios),Compact,Electronic Fuel Injection,regular
2043,3107,12750.0,2012,toyota prius plug in,,,,10.41,134.0,176.4,68.7,12800.0,,,106.3,58.7,10.6,115.3,,front wheel,Hybrid,,,,hybrid
2044,3108,230605.0,2012,hyundai sonata,3358.91666666667,four dr Car,Gas Ifour ,7.23,198.0,189.8,72.2,24778.75,5.0,4.0,110.0,57.8833333333333,18.3916666666667,104.0,26.0,front wheel,Regular,"6-speed automatic transmission w/OD, SHIFTRONIC",Large Cars,Direct Injection,regular
2045,3111,218621.0,2012,chevrolet equinox,3861.125,Sport Utility,Gas/Ethanol Ifour ,,,,,27042.5,5.0,4.0,112.5,66.3,18.8,99.7,24.5,front wheel,"Gas/Ethanol Ifour , two.four ","Transmission, 6-speed automatic with over",four WD Sport Utility Vehicle,Direct Injection,gas/ethanol
2046,3112,210951.0,2012,chevrolet malibu,3440.16666666667,four dr Car,Gas four -Cyl,6.95,252.0,191.8,70.3,26496.6666666667,5.0,4.0,112.3,57.1,16.0,95.0,26.0,front wheel,Regular,"Transmission, 6-speed automatic electronically controlled with over",Midsize,Electronic Fuel Injection,regular
2047,3115,202034.0,2012,hyundai elantra,2840.33333333333,four dr Car,Gas Ifour ,10.06,138.0,176.6,69.5,18300.5555555556,5.0,4.0,106.3,57.9666666666667,13.3333333333333,96.0,32.0,front wheel,Regular,6-speed automatic transmission w/SHIFTRONIC,Midsize cars,Electronic Fuel Injection,regular
2048,3117,171877.0,2012,toyota ravfour ,3549.16666666667,Sport Utility,Gas Ifour ,6.14,269.0,181.9,73.0,25790.0,5.0,4.0,104.7,67.9,15.9,108.2,22.75,front wheel,"Gas Ifour , two.5L",5-speed automatic transmission -inc: electronically controlled transmission w/intelligence (ECT-i),Sport Utility Vehicle,SFI,regular
2049,3118,170424.0,2012,volkswagen jetta,3265.07142857143,Station Wagon,Gas I5,9.1,140.0,179.4,70.1,24894.2857142857,5.0,4.0,101.5,59.2,14.5,94.0,27.0,front wheel,Premium,6-speed automatic transmission w/Tiptronic,Small Station Wagons,Electronic Fuel Injection,premium
2050,3126,146478.0,2012,volkswagen jetta sedan,,,,9.93,115.0,182.2,70.0,6206.0,5.0,4.0,104.4,57.2,14.5,,28.0,front wheel,Gas,,,,regular
2051,3127,23946.0,2012,volkswagen jetta sportwagen,,,,8.15,170.0,179.4,70.1,8078.0,,,101.5,59.2,14.5,92.0,26.0,front wheel,Regular,Automatic (S6),Small Station Wagons,,regular
